English words/sentences,French words/sentences
Come on.,Viens?ˇ!
Come on.,VenezÉ??!
Drop it!,Laisse tomber !
Drop it!,Laissez tomber !
Drop it!,Laisse-le tomber !
Drop it!,Laissez-le tomber !
Get Tom.,Va chercher Tom.
Get out!,SortezÉ??!
Get out!,Sors !
Get out!,Sortez !
Get out.,Sors.
Get out.,Casse-toi.
Go away!,D??gageÉ??!
Go away!,Pars !
Go away.,Va te faire foutre !
Go away.,Pars !
Go away.,D??gage !
Go away.,Fous le camp !
Go away.,Pars d'ici.
Go away.,Va t'en !
Go away.,Disparais !
Go away.,Allez-vous en !
Go home.,Rentrez ?ˇ la maison.
Go home.,Rentre ?ˇ la maison.
Go home.,Rentre chez toi.
Go home.,Rentrez chez vous.
Go slow.,Va doucement !
Go slow.,Allez doucement !
Goodbye!,Adieu !
Goodbye!,?? la revoyure.
Hang on!,Attends un peu !
Hang on!,Attendez un peu !
Hang on.,Tiens bon !
Hang on.,Tenez bon !
He quit.,Il laissa tomber.
He quit.,Il a laiss?? tomber.
He runs.,Il court.
Help me!,Aide-moi !
Help me.,Aide-moi.
Help me.,Aidez-moi.
Help us.,Aidez-nous !
Help us.,Aide-nous !
Hold it!,Ne bouge plus !
Hold on.,Ne quittez pas.
Hug Tom.,Fais un c?õlin ?ˇ Tom.
I agree.,Je suis du m?¶me avis.
I cried.,J'ai pleur??.
I dozed.,Je me suis assoupi.
I dozed.,Je me suis assoupie.
I drive.,Je conduis.
I smoke.,Je fume.
I snore.,Je ronfle.
I stink.,Je pue.
I stood.,Je me suis tenu debout.
I stood.,Je me suis tenue debout.
I swore.,JÉ??ai promis.
I swore.,JÉ??ai jur??.
I tried.,J'essayai.
I tried.,J'ai essay??.
I tried.,J'ai tent??.
I waved.,JÉ??ai fait signe.
I'll go.,J'irai.
I'm Tom.,Je suis Tom.
I'm fat.,Je suis gras.
I'm fat.,Je suis gros.
I'm fit.,Je suis en forme.
I'm hit!,Je suis touch?? !
I'm hit!,Je suis touch??e !
I'm ill.,Je suis malade.
I'm sad.,Je suis triste.
I'm shy.,Je suis timide.
I'm wet.,Je suis mouill??.
I'm wet.,Je suis mouill??e.
It's me!,C'est bibiÉ??!
Join us.,Joignez-vous.
Join us.,Joignez-vous ?ˇ nous.
Keep it.,Garde-le !
Keep it.,Gardez-le !
Kiss me.,Embrasse-moi.
Kiss me.,Embrassez-moi.
"Me, too.",Moi aussi.
Open up.,Ouvre-moiÉ??!
Open up.,Ouvre.
Perfect!,ParfaitÉ??!
See you!,?? plus tard !
See you!,?? bient??t !
See you!,?? la prochaine !
See you.,?? plus.
Show me.,Montre-moi !
Show me.,Montrez-moi !
Shut up!,Taisez-vousÉ??!
Shut up!,Ferme-laÉ??!
Shut up!,Tais-toi !
Shut up!,Ferme-la !
Shut up!,La ferme !
Skip it.,Pas grave.
So long.,?? plus tard !
Take it.,Prends-leÉ??!
Take it.,Prenez-leÉ??!
Take it.,Prends-le !
Take it.,Prenez-le !
Tell me.,Dis-moi !
Tell me.,Dites-moi !
Tom won.,Tom a gagn??.
Wake up!,R??veille-toiÉ??!
Wake up!,R??veille-toi !
Wake up!,R??veillez-vous !
Wake up.,R??veille-toi !
Wake up.,R??veillez-vous !
Wash up.,Lave-toi !
Wash up.,Lavez-vous !
We know.,Nous savons.
We lost.,Nous perd??mes.
We lost.,Nous avons perdu.
We lost.,Nous f?Ømes battus.
We lost.,Nous f?Ømes battues.
We lost.,Nous f?Ømes d??faits.
We lost.,Nous f?Ømes d??faites.
We lost.,Nous avons ??t?? d??faits.
We lost.,Nous avons ??t?? d??faites.
We lost.,Nous avons ??t?? battus.
We lost.,Nous avons ??t?? battues.
Welcome.,BienvenueÉ??!
Who won?,Qui a gagn?? ?
Who won?,Qui l'a emport?? ?
You run.,Tu cours.
Am I fat?,Suis-je gros ?
Am I fat?,Suis-je grosse ?
Ask them.,Demande-leur.
Ask them.,Demandez-leur.
Back off!,ReculeÉ??!
Back off!,Reculez.
Back off.,ReculeÉ??!
Back off.,Reculez.
Back off.,Retire-toiÉ??!
Back off.,Retirez-vous.
Be a man.,Sois un homme !
Be a man.,Soyez un homme !
Be still.,Sois calme !
Be still.,Soyez calme !
Be still.,Soyez calmes !
Beats me.,Aucune id??e.
Beats me.,J'en sais foutre rien.
Call Tom.,Appelle Tom.
Call Tom.,Appelez Tom.
Cheer up!,CourageÉ??!
Cool off!,D??tends-toiÉ??!
Cuff him.,Menottez-le.
Drive on.,Avance !
Drive on.,Avancez !
Drive on.,Continue ?ˇ rouler !
Drive on.,Continuez ?ˇ rouler !
Find Tom.,Trouve Tom.
Find Tom.,Trouvez Tom.
Fix this.,R??parez ceci.
Fix this.,R??pare ??a.
Get down!,L?õche-toi !
Get down.,Descends !
Get down.,Descendez !
Get down.,L?õche-toi !
Get down.,L?õchez-vous !
Get lost!,Va voir ailleurs si j'y suisÉ??!
Get lost!,D??gageÉ??!
Get lost!,Va au diable !
Get real!,Sois r??aliste !
Go ahead!,Passe devant !
Go ahead!,Vas-y !
Go ahead!,Avance !
Go ahead.,Vas-y.
Go ahead.,Poursuis !
Go ahead.,Passe devant !
Go ahead.,Vas-y !
Good job!,Bien jou??É??!
Good job!,Bon boulotÉ??!
Good job!,Beau travailÉ??!
Grab him.,Attrape-le.
Grab him.,Attrapez-le.
Have fun.,Amuse-toi bien !
Have fun.,Amusez-vous bien !
He tries.,Il essaye.
He's wet.,Il est mouill??.
Help Tom.,Aide Tom.
Help Tom.,Aidez Tom.
"Hi, guys.","Salut, les mecs !"
How cute!,Comme c'est mignonÉ??!
How deep?,Quelle profondeurÉ???
How nice!,Comme c'est chouette !
How nice!,Comme c'est gentil !
How nice!,C'est du joli !
How nice!,Comme c'est agr??able !
Hurry up.,D??p?¶che-toi.
Hurry up.,GrouilleÉ??!
Hurry up.,Pressez-vous !
Hurry up.,Fi??a !
I did OK.,Je m'en suis bien sorti.
I did OK.,Je m'en suis bien sortie.
I did it.,Je l'ai fait.
I did it.,C'est moi qui l'ai fait.
I failed.,J'ai ??chou??.
I forgot.,J'ai oubli??.
I get it.,J'ai compris.
I got it.,J'ai compris.
I got it.,J'ai capt??.
I helped.,J'ai aid??.
I jumped.,J'ai saut??.
I looked.,JÉ??ai regard??.
I moaned.,JÉ??ai r?õl??.
I nodded.,JÉ??ai fait signe de la t?¶te.
I obeyed.,JÉ??ai ob??i.
I phoned.,Je t??l??phonai.
I phoned.,J'ai t??l??phon??.
I refuse.,Je refuse.
I refuse.,Je le refuse.
I rested.,Je me suis repos??.
I rested.,Je me suis repos??e.
I saw it.,Je l'ai vu.
I saw it.,Je lÉ??ai vu.
I sighed.,JÉ??ai soupir??.
I stayed.,Je suis rest??.
I stayed.,Je suis rest??e.
I talked.,JÉ??ai parl??.
I use it.,Je l'utilise.
I use it.,J'en fais usage.
I use it.,Je m'en sers.
I'll pay.,Je paierai.
I'll try.,Je vais essayer.
I'll try.,J'essaierai.
I'm back.,Je suis revenu.
I'm back.,Me revoil?ˇ.
I'm bald.,Je suis chauve.
I'm busy.,Je suis occup??.
I'm busy.,Je suis occup??e.
I'm calm.,Je suis calme.
I'm cold.,J'ai froid.
I'm cool.,Je suis d??tendu.
I'm cool.,Je suis d??tendue.
I'm deaf.,Je suis sourd.
I'm deaf.,Je suis sourde.
I'm done.,J'en ai fini.
I'm fair.,Je suis juste.
I'm fair.,J'ai la peau claire.
I'm fair.,J'ai le teint clair.
I'm fast.,Je suis rapide.
I'm fine.,Tout va bien.
I'm fine.,Je vais bien.
I'm fine.,??a va.
I'm free!,Je suis libre !
I'm free.,Je suis libre.
I'm free.,Je suis disponible.
I'm full.,Je suis repuÉ??!
I'm full.,Je suis rassasi??É??!
I'm game.,J'en suis.
I'm game.,Je suis de la partie.
I'm glad.,Je suis content.
I'm home.,Je suis chez moi.
I'm late.,Je suis en retard.
I'm lazy.,Je suis paresseux.
I'm lazy.,Je suis fain??ant.
I'm lazy.,Je suis paresseuse.
I'm lazy.,Je suis fain??ante.
I'm okay.,Je vais bien.
I'm okay.,Je me porte bien.
I'm rich.,Je suis riche.
I'm safe.,Je suis en s??curit??.
I'm sick.,Je suis malade.
I'm sure.,J'en suis certain.
I'm sure.,Je suis certain.
I'm sure.,J'en suis s?Ør.
I'm sure.,J'en suis s?Øre.
I'm tall.,Je suis grande.
I'm thin.,Je suis mince.
I'm tidy.,Je suis ordonn??.
I'm tidy.,Je suis ordonn??e.
I'm ugly.,Je suis laid.
I'm ugly.,Je suis laide.
I'm weak.,Je suis faible.
I'm well.,Je vais bien.
I'm well.,Je me porte bien.
I've won.,J'ai gagn??.
I've won.,Je l'ai emport??.
It helps.,??a aide.
It hurts.,??a fait mal.
It works.,Elle marche.
It works.,??a fonctionne.
It's Tom.,C'est Tom.
It's fun.,C'est marrant.
It's fun.,C'est rigolo.
It's his.,C'est le sien.
It's his.,C'est la sienne.
It's new.,C'est nouveau.
It's new.,C'est neuf.
It's odd.,C'est bizarre.
It's red.,Il est rouge.
It's sad.,CÉ??est triste.
Keep out!,D??fense d'entrer.
Keep out.,N'entrez pas.
Kiss Tom.,Embrasse Tom.
Leave it.,Laisse tomber !
Leave it.,Laissez tomber !
Leave me.,Laissez-moi !
Leave us.,Laisse-nous !
Leave us.,Laissez-nous !
Let's go!,Allons-y !
Let's go.,Allons-y !
Look out!,Attention !
Look out!,Regarde donc !
Marry me.,??pouse-moi !
Marry me.,??pousez-moi !
May I go?,Puis-je partir ?
May I go?,Puis-je y aller ?
May I go?,Puis-je m'y rendre ?
Save Tom.,Sauve Tom.
Save Tom.,Sauvez Tom.
Say what?,De quoiÉ???
She came.,Elle est venue.
She died.,Elle est morte.
She runs.,Elle court.
Sit down!,Assieds-toi !
Sit down!,Asseyez-vous !
Sit down.,Assieds-toi.
Sit here.,Assieds-toi ici.
Sit here.,Asseyez-vous ici.
Speak up!,Parle plus fortÉ??!
Speak up!,Parlez plus fortÉ??!
Stand up.,L??ve-toi.
Stop Tom.,Arr?¶te Tom.
Stop Tom.,Stoppez Tom.
Taste it.,Go?Øte-le.
Taste it.,Go?Øte-la.
Taste it.,Go?Øtez-le.
Taste it.,Go?Øtez-la.
Tell Tom.,Dis-le ?ˇ Tom.
Tell Tom.,Informez-en Tom.
Terrific!,G??nialÉ??!
Terrific!,ExcellentÉ??!
Terrific!,Formidable !
They won.,Ils gagn??rent.
They won.,Elles gagn??rent.
They won.,Ils ont gagn??.
They won.,Elles ont gagn??.
Tom came.,Tom est venu.
Tom died.,Tom est mort.
Tom knew.,Tom savait.
Tom left.,Tom est parti.
Tom left.,Tom partit.
Tom lied.,Tom a menti.
Tom lies.,Tom ment.
Tom lost.,Tom a perdu.
Tom paid.,Tom a pay??.
Too late.,Trop tard.
Trust me.,Faites-moi confiance.
Trust me.,Fais-moi confiance.
Try hard.,Fais un effort.
Try some.,Essaies-en !
Try some.,Essayez-en !
Try this.,Essaie ceci !
Try this.,Essayez ceci !
Use this.,Utilise ceci.
Use this.,Utilisez ceci.
Use this.,Emploie ceci !
Use this.,Employez ceci !
Warn Tom.,Avertis Tom.
Warn Tom.,Pr??viens Tom.
Watch me.,Regarde-moi !
Watch me.,Regardez-moi !
Watch us.,Regardez-nous !
Watch us.,Regarde-nous !
We agree.,Nous sommes d'accord.
We'll go.,Nous irons.
We're OK.,Nous allons bien.
What for?,Pour quoi faireÉ???
What for?,?? quoi bon ?
What fun!,Qu'est-ce qu'on s'est marr??s !
What fun!,Qu'est-ce qu'on s'est marr??es !
Who came?,Qui est venu ?
Who died?,Qui est mort ?
Who fell?,Qui est tomb???ˇ?
Who quit?,Qui d??missionne ?
Who's he?,Qui est-ilÉ???
Write me.,??cris-moi !
Write me.,??crivez-moi !
You lost.,Tu as perdu.
You lost.,Vous avez perdu.
After you.,Apr??s vous.
Aim. Fire!,En joue ! Feu !
Am I late?,Suis-je en retard ?
Answer me.,R??pondez-moi.
Be seated.,Assieds-toi !
Be seated.,Asseyez-vous !
Birds fly.,Les oiseaux volent.
Bless you.,?? tes souhaitsÉ??!
Call home!,Appelle ?ˇ la maison !
Calm down!,Calmez-vous !
Calm down.,Calme-toi.
Can we go?,Pouvons-nous partir ?
Can we go?,Pouvons-nous nous en aller ?
Can we go?,Pouvons-nous y aller ?
Catch Tom.,Attrape Tom.
Catch Tom.,Attrapez Tom.
Catch him.,Rattrape-le.
Chill out.,Calme-toi.
Come back.,Reviens !
Come back.,Revenez !
Come here.,Viens ici.
Come here.,Venez l?ˇ.
Come over!,Viens?ˇ!
Come over!,VenezÉ??!
Come over.,Venez ici !
Come over.,Viens chez nous !
Come over.,Venez chez nous !
Come over.,Viens chez moi !
Come over.,Venez chez moi !
Come soon.,Viens bient??t !
Come soon.,Venez bient??t !
Cool down.,Calmez-vous !
Did I win?,Ai-je gagn?? ?
Did I win?,L'ai-je emport?? ?
Did I win?,Est-ce moi qui ai gagn?? ?
Do it now.,Faites-le maintenant.
Dogs bark.,Des chiens aboient.
Dogs bark.,Les chiens aboient.
Don't ask.,Ne demande pas !
Don't cry.,Ne pleure pas !
Don't die.,Ne meurs pas !
Don't die.,Ne mourez pas !
Don't lie.,Ne mens pas.
Don't run.,Ne courez pas.
Don't run.,Ne cours pas.
Excuse me.,Excuse-moi.
Excuse me.,Excusez-moi.
Excuse me?,PardonÉ???
Excuse me?,Je vous demande pardonÉ???
Excuse me?,Pla??t-ilÉ???
Excuse me?,Plait-ilÉ???
Excuse me?,Pardon ?
Fantastic!,FantastiqueÉ??!
Feel this.,Sens ??a !
Feel this.,Sentez ??a !
Feel this.,Touche ??a !
Feel this.,Touchez ??a !
Follow me.,Suis-moi.
Follow us.,Suis-nous !
Follow us.,Suivez-nous !
Forget it!,Oublie !
Forget it!,Oublie-le !
Forget it!,Oubliez !
Forget it!,Oubliez-le !
Forget it.,Laisse tomber.
Forget it.,Oublie.
Forget it.,Oublie-le !
Get a job.,Trouve un emploi !
Get a job.,Trouve un boulot !
Get a job.,Trouvez un emploi !
Get a job.,Trouvez un boulot !
Get ready.,Pr??pare-toi.
Get ready.,Pr??parez-vous.
Go get it.,Va le chercher !
Go get it.,Allez le chercher !
Go inside.,EntrezÉ??!
Go to bed.,Va au lit !
Go to bed.,Allez au lit !
Good luck.,Bonne chanceÉ??!
Good luck.,Bonne chance.
Grab that.,Attrape ??a !
Grab that.,Attrapez ??a !
Grab that.,Saisis-toi de ??a !
Grab that.,Saisissez-vous de ??a !
Grab this.,Attrape ??a !
Grab this.,Attrapez ??a !
Hands off.,Pas toucheÉ??!
He is ill.,Il est malade.
He is old.,Il est vieux.
He's a DJ.,Il est DJ.
He's good.,Il est bon.
He's lazy.,Il est paresseux.
He's mine.,Il est ?ˇ moi.
He's rich.,Il est riche.
He's sexy.,Il est sexy.
Here I am.,Me voici.
Here's $5.,Voil?ˇ cinq dollars.
Hold fire.,Halte au feu !
Hold fire.,Cessez le feu !
Hold this.,Tiens ??a !
Hold this.,Tenez ??a !
Hold this.,Tenez ceci !
Hold this.,Tiens ceci !
How awful!,C'est affreuxÉ??!
How weird!,Comme c'est bizarre !
How's Tom?,Comment Tom va-t-il ?
How's Tom?,Comment va Tom ?
I am cold.,J'ai froid.
I am good.,Je suis bon.
I am okay.,Je vais bien.
I am sick.,Je suis malade.
I am sure.,Je suis s?Ør.
I am sure.,Je suis certain.
I beg you.,Je vous en prie.
I beg you.,Je vous en conjure.
I beg you.,Je vous en supplie.
I beg you.,Je te prie.
I can run.,Je sais courir.
I can ski.,Je sais skier.
I cringed.,J'eus un mouvement de recul.
I cringed.,J'ai eu un mouvement de recul.
I cringed.,Je suis rentr?? en moi-m?¶me.
I exhaled.,JÉ??ai expir??.
I gave up.,J'ai abandonn??.
I give in.,Je donne ma langue au chat.
I give up.,J'abandonne.
I got hot.,Je me suis mis ?ˇ avoir chaud.
I got hot.,Je me suis mise ?ˇ avoir chaud.
I had fun.,Je me suis amus??.
I had fun.,Je me suis amus??e.
I had fun.,Je me suis marr??.
I had fun.,Je me suis marr??e.
I hate it.,Je d??teste ??a.
I have it.,Je l'ai.
I hit Tom.,J'ai frapp?? Tom.
I hope so.,J'esp??re bien.
I hurried.,Je me suis d??p?¶ch??.
I hurried.,Je me suis d??p?¶ch??e.
I inhaled.,JÉ??ai inspir??.
I knew it.,Je le savais.
I like it.,J'aime ??a.
I lost it.,Je lÉ??ai perdu.
I love it!,J'adore ??a !
I love it.,J'adore ??a !
I mean it!,Je suis s??rieuxÉ??!
I mean it.,Je suis s??rieux.
I must go.,Je dois y aller.
I must go.,Il faut que j'y aille.
I must go.,Il me faut y aller.
I must go.,Il me faut partir.
I must go.,Il me faut m'en aller.
I must go.,Je dois partir.
I must go.,Je dois m'en aller.
I must go.,Il faut que je m'en aille.
I need it.,J'en ai besoin.
I need it.,Il me le faut.
I noticed.,J'ai remarqu??.
I prepaid.,J'ai pay?? d'avance.
I promise.,Je le promets.
I relaxed.,Je me suis d??tendu.
I relaxed.,Je me suis d??tendue.
I retired.,J'ai pris ma retraite.
I said no.,J'ai dit non.
I said so.,Je l'ai dit.
I saw him.,Je l'ai vu.
I saw him.,Je lÉ??ai vu.
I saw him.,Je le vis.
I saw one.,J'en ai vu une.
I saw one.,J'en ai vu un.
I saw you.,Je vous vis.
I saw you.,Je te vis.
I saw you.,Je t'ai vue.
I saw you.,Je t'ai vu.
I saw you.,Je vous ai vues.
I saw you.,Je vous ai vus.
I saw you.,Je vous ai vue.
I saw you.,Je vous ai vu.
I see Tom.,Je vois Tom.
I shouted.,J'ai cri??.
I tripped.,J'ai tr??buch??.
I tripped.,J'ai plan??.
I want it.,Je le veux.
I was new.,J'??tais nouveau.
I was new.,J'??tais nouvelle.
I will go.,J'irai.
I woke up.,Je me suis r??veill??.
I woke up.,Je me suis ??veill??.
I'd agree.,Je serais d'accord.
I'd leave.,Je partirais.
I'll call.,J'appellerai.
I'll cook.,Je cuisinerai.
I'll help.,J'aiderai.
I'll live.,Je vivrai.
I'll obey.,J'ob??irai.
I'll pack.,Je ferai mon sac.
I'll pack.,Je ferai ma valise.
I'll pack.,Je plierai mes gaules.
I'll pass.,Je passerai.
I'll quit.,J'abandonnerai.
I'll sing.,Je chanterai.
I'll stop.,J'arr?¶terai.
I'll swim.,Je nagerai.
I'll talk.,Je parlerai.
I'll talk.,Je vais parler.
I'll wait.,J'attendrai.
I'll walk.,Je marcherai.
I'll work.,Je vais travailler.
I'll work.,Je travaillerai.
I'm a cop.,Je suis flic.
I'm a man.,Je suis un homme.
I'm alive.,Je suis en vie.
I'm alive.,Je suis vivant.
I'm alive.,Je suis vivante.
I'm alone.,Je suis seule.
I'm alone.,Je suis seul.
I'm angry.,Je suis ??nerv??.
I'm angry.,Je suis en col??re.
I'm armed.,Je suis arm??.
I'm armed.,Je suis arm??e.
I'm awake.,Je suis r??veill??.
I'm blind.,Je suis aveugle.
I'm broke.,Je suis fauch??.
I'm clean.,J'ai d??croch??.
I'm clean.,Je suis propre.
I'm crazy.,Je suis fou.
I'm crazy.,Je suis folle.
I'm cured.,Je suis gu??ri.
I'm cured.,Je suis gu??rie.
I'm dizzy.,J'ai la t?¶te qui tourne.
I'm drunk.,Je suis saoul.
I'm drunk.,Je suis so?Øl.
I'm drunk.,Je suis ivre.
I'm dying.,Je me meurs.
I'm early.,Je suis en avance.
I'm first.,Je suis en premier.
I'm fussy.,Je suis difficile.
I'm fussy.,Je suis tatillon.
I'm fussy.,Je suis tatillonne.
I'm going.,Je pars maintenant.
I'm going.,Je me tire.
I'm going.,JÉ??y vais.
I'm going.,Je pars.
I'm loyal.,Je suis loyal.
I'm loyal.,Je suis loyale.
I'm lucky.,Je suis veinard.
I'm lucky.,Je suis veinarde.
I'm lucky.,J'ai du pot.
I'm lucky.,Je suis chanceux.
I'm lucky.,Je suis chanceuse.
I'm lying.,Je suis en train de mentir.
I'm naked.,Je suis nu.
I'm naked.,Je suis nue.
I'm naked.,Je me trouve nu.
I'm naked.,Je me trouve nue.
I'm naked.,Je suis ?ˇ poil.
I'm quiet.,Je suis tranquille.
I'm ready!,Je suis pr?¶te !
I'm ready!,Je suis pr?¶t !
I'm ready.,Je suis pr?¶t.
I'm right.,J'ai raison.
I'm sober.,Je suis sobre.
I'm sorry.,Excuse-moi.
I'm sorry.,D??sol??.
I'm sorry.,Excusez-moi.
I'm sorry.,D??sol?? !
I'm sorry.,Je suis d??sol??.
I'm sorry.,Je suis d??sol??e.
I'm stuck.,Je suis coinc??e.
I'm timid.,Je suis timide.
I'm tired.,Je suis fatigu?? !
I'm tough.,Je suis dur.
I'm tough.,Je suis dure.
I'm tough.,Je suis dur ?ˇ cuire.
I'm tough.,Je suis dure ?ˇ cuire.
I'm yours.,Je suis ?ˇ toi.
I'm yours.,Je suis ?ˇ vous.
I've lost.,J'ai perdu.
Is Tom OK?,Est-ce que Tom va bien ?
Is Tom OK?,Tom va-t-il bien ?
Is it bad?,C'est graveÉ???
Is it far?,Est-ce ??loign?? ?
Is it far?,Est-ce loin ?
Is it hot?,Est-ce chaud?ˇ?
Is it you?,Est-ce toi ?
Is it you?,Est-ce vous ?
Is it you?,Est-ce que c'est vous ?
It failed.,??a a ??chou??.
It snowed.,Il a neig??.
It stinks.,??a sent mauvais.
It stinks.,??a pue.
It was OK.,C'??tait bon.
It was OK.,C'??tait correct.
It was OK.,C'??tait OK.
It worked.,??a a fonctionn??.
It worked.,??a a march??.
It's 3:30.,Il est trois heures et demie.
It's 8:30.,Il est huit heures trente.
It's 8:30.,Il est 8?ˇh?ˇ30.
It's a TV.,C'est une t??l??.
It's cold.,Il fait froid.
It's cold.,C'est froid.
It's dark.,C'est sombre.
It's dead.,Elle est morte.
It's dead.,C'est mort.
It's dead.,Il est mort.
It's done.,C'est fait.
It's easy.,C'est simple.
It's food.,C'est de la nourriture.
It's free.,C'est gratuit.
It's here.,Elle est ici.
It's here.,C'est ici.
It's hers.,C'est le sien.
It's hers.,C'est la sienne.
It's late.,Il est tard.
It's lost.,C'est perdu.
It's mine.,C'est le mien.
It's mine.,C'est la mienne.
It's mine.,C'est ?ˇ moi.
It's mine.,Il s'agit du mien.
It's open.,C'est ouvert.
It's ours.,C'est le n??tre.
It's ours.,C'est la n??tre.
It's ours.,C'est ?ˇ nous.
It's sand.,C'est du sable.
It's time.,Il est temps !
It's time.,C'est l'heure.
It's true!,C'est vraiÉ??!
It's work.,C'est du boulot.
Keep calm.,Restez calme.
Keep that.,Garde ??a.
Keep that.,Gardez cela.
Keep this.,Garde ??a.
Keep this.,Gardez ceci.
Let it be.,Ainsi soit-il.
Let it be.,Laisse faire.
Let me go!,Laisse-moi partirÉ??!
Let me go!,Laissez-moi partirÉ??!
Let me go!,L?õche-moiÉ??!
Let me go!,L?õchez-moiÉ??!
Let me go!,Laisse-moi m'en aller !
Let me go!,Laissez-moi m'en aller !
Let me go!,Laissez-moi y aller !
Let me go!,Laisse-moi y aller !
Let me go.,Laisse-moi partirÉ??!
Let me go.,Laissez-moi partirÉ??!
Let me go.,Laisse-moi m'en aller !
Let me go.,Laissez-moi m'en aller !
Let me in.,Laissez-moi rentrer.
Let me in.,Laissez-moi entrer.
Let's ask.,Demandons.
Let's eat.,Mangeons.
Let's see.,Voyons voir !
Lie still.,"Reste allong??, immobile !"
Lie still.,"Reste allong??e, immobile !"
Lie still.,"Restez allong??, immobile !"
Lie still.,"Restez allong??e, immobile !"
Lie still.,"Restez allong??s, immobiles !"
Lie still.,"Restez allong??es, immobiles !"
Look away.,D??tourne le regard.
Look away.,Regardez ailleurs.
Look back!,Regarde derri??re toiÉ??!
Look back!,Regarde derri??reÉ??!
Look here.,Regarde ici.
Look here.,Regardez ici.
Loosen up.,??chauffe-toi !
Loosen up.,??chauffez-vous !
Loosen up.,D??tends-toi !
Loosen up.,Laisse-toi aller !
Loosen up.,Laissez-vous aller !
Move over.,Bouge de l?ˇ.
Move over.,Poussez-vous.
Move over.,Pousse-toi.
Nice shot!,Joli coup !
Of course!,Pour s?Ør.
Of course!,Mais ouais !
Of course!,Pardi !
Of course.,Bien s?Ør.
Of course.,Pour s?Ør.
Oh please!,Je vous en prie !
Oh please!,Je t'en prie !
Pardon me?,PardonÉ???
Pardon me?,Je vous demande pardonÉ???
Pardon me?,Pla??t-ilÉ???
Read this.,Lis ceci.
Say hello.,Dis bonjour.
See above.,Voyez ci-dessus.
See below.,Voyez ci-dessous.
See below.,Voir ci-dessous.
Seize him!,Capturez-le?ˇ!
Seize him!,Attrapez-le?ˇ!
Seriously?,VraimentÉ???
Seriously?,Est-ce s??rieuxÉ???
Seriously?,S??rieusement ?
She cried.,Elle pleurait.
She cried.,Elle pleura.
She tried.,Elle a essay??.
She walks.,Elle marche.
She's hot.,Elle est chaude.
She's hot.,Elle est tr??s attirante.
Sign here.,Signe ici.
Sign here.,Signez ici.
Sign this.,Signe ??a.
Sign this.,Signez ceci.
Slow down.,Ralentis !
